X,L1_len,L2_len,L3_len,L4_len,L5_len,L6_len,L7_len,L8_len,L9_len,L10_len,L11_len,L12_len
70-80,0.262964922,0.001601985,0.000152757,0.000843276,0.000567153,0.000324516,0.000337628,0,0,0,0.000156953,0
80-90,0.216035835,0.05862401,0,0,0,0.00023478,0.000683278,0.000557885,0.004637203,0.000853478,0.000213767,0
90-100,0.13007488,0.155116783,0,0,0,0,0,0.002284474,0.014948949,0.000583743,0,0
100-105,0.023652377,0.120401622,0.001684106,0.000654928,0.00010313,0,0,0.002778706,0.011408175,0,0,0
105-110,0.015140374,0.122193102,0.004240292,0,0.000701913,0,0,0,0.011457366,0.000285998,0,0
110-115,0.001968295,0.145839668,0.020596847,0,0.000337474,0,0.000106576,0.006214577,0.00288754,0.003573204,0.000683085,0
115-120,0.011326087,0.117248057,0.034954636,0,0.002158999,0.000187831,0,0,0.00286978,0.002440874,0.002445665,0
120-125,0.003035126,0.138486999,0.078148202,0.010671706,0.005343436,0.000888655,0.002396853,0.011484963,0,0,0.003993938,0
125-130,0.029815249,0.057373434,0.122383288,0,0.007499103,0.000802436,0.000252765,0.002903612,0.02134598,0,0.000570496,0
130-135,0.054984301,0.014477347,0.219768082,0.048032705,0.024358263,0.005169404,0.004973183,0,0.001260176,0.006668118,0.002223662,0
135-140,0.074765499,0,0.190816807,0.084001325,0.039622451,0.011461382,0.001178554,0,0.001154585,0.036919309,0,0
140-145,0.007203144,0.008023849,0.150649182,0.206384711,0.068150892,0.028720785,0,0,0.001748641,0,0.011122802,0
145-150,0.021789089,0,0.116472271,0.239860037,0.082140463,0.03509293,0.007804448,0,0,0.020935288,0,0
150-155,0,0.012678393,0.033838604,0.267989233,0.109932919,0.050610038,0.01436455,0.013907175,0,0,0.000704897,0
155-160,0.019735815,0.023857478,0,0.124554304,0.14436758,0.079346543,0.008655962,0,0.015488794,0.001378365,0.016033842,0
160-165,0.031828624,0,0,0,0.195987566,0.142281865,0,0.057188248,0.003166192,0.012771303,0,0
165-170,0.000890024,0,0,0.001716695,0.179803829,0.213142488,0.003956205,0,4.54E-05,0.001196795,0,0
170-175,0,0.010499441,0,0,0.082771706,0.166410977,0.083680362,0,0,0.016993985,0.047278563,0
175-180,0.029690461,0,0.005752418,0.001392302,0.028356981,0.120427901,0.151336432,0,0,0.027975001,0.036304394,0
180-185,0.023675701,0.002030431,0,0.004819103,0.005889061,0.062739298,0.151880213,0.003030737,0.024172799,0,0.026325075,0
185-190,0.008089524,0,0.003837915,0,0.000343598,0.034549909,0.146457593,0.01277645,0.012983097,0.004852153,0.008474171,0
190-195,0,0.000751738,6.00E-05,0.006426919,0,0.016978097,0.115258997,0.079840518,0.007685567,0,0.00413643,0
195-200,0,0.000546411,0.001924734,0,0.000598835,0.008559599,0.089692209,0.095681856,0,0.002899815,0.001555585,0
200-205,0,0,0.000500524,0.002048538,0.000671052,0.004721628,0.067298161,0.115527567,0.000233839,0.001204043,0.000859181,0
205-210,0,0,0.000657064,0,0.000862685,0.002464223,0.04801599,0.106106817,5.76E-05,0.002405657,0.00071179,0
210-220,0,0,0.000417443,0.000188582,0.000949985,0.002126505,0.058032681,0.184711051,0.010798295,0.004003508,0.00080275,0
220-230,0.006741866,0,3.43E-05,0,0.000244763,0.000788628,0.026340803,0.118456316,0.031715537,1.69E-05,4.76E-05,0
230-240,0.011230524,0.000232606,0,0,0.000187309,0.000822479,0.010033152,0.069691028,0.049646445,0,0,0
240-250,0.006506594,0.002365564,0,0,0.000165773,0.001071035,0.00278533,0.037435787,0.066085997,0,0.000882158,0.000200175
250-260,0.00049285,0.004249658,0.000913862,0,0,0.000863989,0.000431592,0.017700338,0.087745038,0,0.002572226,7.87E-06
260-270,0.000504534,0.001358065,0.003486088,0,0.000149051,0.000244864,0,0.006077217,0.117164433,0.00019759,0.002111046,0.00323196
270-280,0.000111364,0,0.00444243,0,0.000853333,0,0,0.000691103,0.148334643,0.015849062,0,0.005042447
280-290,0,0,0.002666511,0.000208703,0.002329427,0,0.000549668,0,0.148254184,0.070365106,0,0.004915184
290-300,0.001603993,0.000109648,0,0.000206933,0.004671862,0.000704322,0.000706214,0.000368702,0.12399743,0.160934363,0.004973704,0.004778249
300-310,0.003299862,0,0,0,0.00513272,0.002140666,0,0.003119235,0.06279599,0.240254934,0.05049149,0.012487099
310-320,0.001734302,0,0.000977421,0,0.002128015,0.003093071,0.000134855,0,0.008783143,0.212204673,0.138172869,0.028859749
320-330,0.000459341,0.001050938,0.000624233,0,0,0.002254891,0.001299139,0.00297214,4.89E-05,0.111950453,0.205420991,0.047972973
330-340,0,0.000882773,0,0,0.000456307,0.000774264,0.001058701,0.01971626,0,0.040286259,0.223854324,0.069406572
340-350,0.000649445,0,0,0,0.001389505,0,0.000297902,0.028777236,0.007078301,0,0.206876556,0.083478689
350-701,0,0,0,0,0.000772861,0,0,0,0,0,0,0.739619034
