X,Sig1_len,Sig2_len,Sig3_len,Sig4_len,Sig5_len,Sig6_len,Sig7_len,Sig8_len,Sig9_len,Sig10_len,Sig11_len
70-80,0.000337578,0.000145412,0.000324468,0.00056709,1.19E-07,0.06194557,0.001012715,5.07E-07,0.002638873,1.19E-07,3.73E-07
80-90,0.000683176,0.001631128,0.000234745,4.76E-05,0.01018345,0.069426418,0.005846705,0.005901126,0.00115431,0.001008542,0.002593916
90-100,9.62E-05,0.006430614,1.19E-07,6.15E-05,0.025005539,0.075884717,0.019917926,0.014814699,0.000352786,0.001214958,0.005515751
100-105,1.21E-07,0.004852684,6.74E-05,0.000103119,0.016576552,0.038783464,0.01968039,0.011953034,0.000768523,1.22E-06,0.003255786
105-110,5.63E-06,0.004472878,1.19E-07,0.000701836,0.020356526,0.041102951,0.010230281,0.018552141,0.001201712,6.56E-06,0.006713206
110-115,0.000106561,0.005946593,1.15E-05,0.000337438,0.022242765,0.044685212,0.022186786,0.026412859,0.000908788,0.002988525,0.00358646
115-120,7.46E-06,0.005529566,0.000187803,0.002158763,0.026101601,0.049387148,0.002182387,0.039191986,0.000690181,0.003720405,0.007433946
120-125,0.002396495,0.006469206,0.000888522,0.005342851,0.024686765,0.053316002,0.039255204,0.053320026,0.004040155,0.003155654,0.002065172
125-130,0.000252727,0.011153522,0.000802316,0.007498282,0.008458459,0.046125984,0.005639466,0.072230047,0.000671337,0.002117977,0.013358298
130-135,0.004972439,0.000623744,0.005168631,0.024355596,5.55E-06,0.057272773,0.057112568,0.108851318,0.01178906,0.000128718,0.011603014
135-140,0.001178378,0.000335677,0.011459669,0.039618113,0.008581364,0.053950377,0.063852175,0.10471139,0.002765905,0.007032196,0.031416663
140-145,3.72E-06,0.002052573,0.028716492,0.068143431,5.97E-06,0.023229063,0.168357481,0.088781787,0.017476486,0.009398391,6.38E-05
145-150,0.007803281,0.000501146,0.035087684,0.082131469,0.002947596,0.022911857,0.156152612,0.096430833,0.008089837,0.003263052,0.032135133
150-155,0.014362402,0.015650604,0.050602473,0.109920882,0.051130474,0.02442159,0.169261864,0.071225257,0.017106026,0.000155986,0.014989093
155-160,0.008654668,0.027735475,0.079334683,0.144351773,0.131186151,0.068793487,0.072632899,0.077671065,0.004816354,0.019898597,0.022602819
160-165,1.79E-06,0.053913165,0.142260596,0.195966108,0.203412305,0.089866111,5.73E-07,0.077623822,0.025642108,5.50E-07,0.008861173
165-170,0.003955614,0.069489387,0.213110627,0.179784143,0.076447445,0.001579538,0.103828967,5.77E-06,1.41E-07,0.027648584,0.000924619
170-175,0.083667848,0.005065918,0.166386101,0.082762644,0.025007454,0.027340516,0.016428961,0.032498812,0.014582971,0.045170034,0.040982772
175-180,0.151313801,0.000842726,0.120409899,0.028353876,1.19E-07,0.037226954,0.018207849,0.020646288,0.019693857,0.03340061,0.061036449
180-185,0.1518575,0.024987888,0.06272992,0.005888417,0.020519627,0.031044124,0.010020549,0.018021833,0.02849104,0.027027584,0.038412269
185-190,0.146435691,0.046836479,0.034544744,0.00034356,0.037242047,0.031488492,1.33E-07,0.01632728,0.026904802,0.014044122,0.03168221
190-195,0.115241761,0.066025334,0.016975559,1.22E-07,0.039359673,0.014032849,0.011551701,0.005782797,0.023328866,0.011553009,0.011360495
195-200,0.089678796,0.067639413,0.008558319,0.000598769,0.042149544,0.010431323,0.000925408,0.00723602,0.020421887,0.007594002,0.006761747
200-205,0.067288097,0.0665113,0.004720922,0.000670979,0.034865862,0.002880979,0.005650632,0.002234507,0.016298237,0.007724626,0.000395997
205-210,0.048008809,0.057830985,0.002463855,0.00086259,0.029654841,0.002020927,0.001432419,0.002068107,0.01344662,0.004937063,2.94E-05
210-220,0.058024002,0.095141032,0.002126187,0.000949881,0.04060482,2.98E-05,0.003906003,0.000596054,0.017693002,0.007368067,0.000473344
220-230,0.026336864,0.069462459,0.000788511,0.000244737,0.022072575,0.000356285,0.001832527,0.000131798,0.009460677,0.002877847,0.005638038
230-240,0.010031652,0.052595201,0.000822356,0.000187289,0.011591263,0.001456135,0.000346201,1.53E-07,0.003611528,0.00091322,0.013117898
240-250,0.002784913,0.041957756,0.001070875,0.000165755,0.006231678,0.00161977,1.19E-07,0.000675167,0.000126472,0.002209185,0.019655718
250-260,0.000431528,0.035404771,0.00086386,1.19E-07,0.002259247,0.001452696,1.20E-07,0.003016616,4.24E-06,0.003151215,0.025732662
260-270,1.19E-07,0.031739862,0.000244828,0.000149035,0.000212296,0.000934896,9.47E-07,0.005266127,0.00210491,0.001261762,0.034013134
270-280,2.93E-05,0.029504648,1.19E-07,0.000853239,0.000129218,0.000145524,0.000285499,0.005658098,0.003844499,1.27E-07,0.048691801
280-290,0.000549586,0.023918242,1.25E-07,0.002329172,0.003186552,1.19E-07,0.001386881,0.004459567,0.004376965,0.011690006,0.069822779
290-300,0.000706109,0.016753874,0.000704217,0.004671351,0.008372737,0.000178412,0.002071508,0.00164941,0.00571725,0.040928808,0.095631342
300-310,3.74E-06,0.006118694,0.002140346,0.005132158,0.011188668,0.001647905,0.001248274,1.22E-07,0.012358705,0.093312275,0.113393164
310-320,0.000134835,1.19E-07,0.003092609,0.002127782,0.00701299,0.003724635,1.19E-07,0.001395702,0.023303041,0.152276331,0.095767121
320-330,0.001298944,0.004254646,0.002254554,1.36E-07,0.002531278,0.004466256,0.000377853,0.00294615,0.0357398,0.173608436,0.054682663
330-340,0.001058543,0.01345539,0.000774148,0.000456257,0.000527698,0.002559442,0.002828227,0.001693108,0.047570817,0.15584255,0.019985173
